surface,module,identifier,title,status,source_file,notes
微信小程序,main,pages/entry/index,真好玩,已注册,miniprogram-client/pages/entry/index.json,app.json 页面路由
微信小程序,main,pages/home/guest/index,首页,已注册,miniprogram-client/pages/home/guest/index.json,app.json 页面路由
微信小程序,main,pages/login/index,邀请注册,已注册,miniprogram-client/pages/login/index.json,app.json 页面路由
微信小程序,main,pages/login/invite/index,,已注册,miniprogram-client/pages/login/invite/index.json,app.json 页面路由
微信小程序,main,pages/login/forgot/index,,已注册,miniprogram-client/pages/login/forgot/index.json,app.json 页面路由
微信小程序,main,pages/login/realname/index,,已注册,miniprogram-client/pages/login/realname/index.json,app.json 页面路由
微信小程序,main,pages/home/master/index,首页母版走查,已注册,miniprogram-client/pages/home/master/index.json,app.json 页面路由
微信小程序,main,pages/home/player/index,玩家首页,已注册,miniprogram-client/pages/home/player/index.json,app.json 页面路由
微信小程序,main,pages/home/ranking/index,玩霸榜,已注册,miniprogram-client/pages/home/ranking/index.json,app.json 页面路由
微信小程序,main,pages/home/expert/index,行家首页,已注册,miniprogram-client/pages/home/expert/index.json,app.json 页面路由
微信小程序,main,pages/home/guide/index,领路人首页,已注册,miniprogram-client/pages/home/guide/index.json,app.json 页面路由
微信小程序,main,pages/role/apply/index,角色申请,已注册,miniprogram-client/pages/role/apply/index.json,app.json 页面路由
微信小程序,main,pages/role/flow/index,角色流程,已注册,miniprogram-client/pages/role/flow/index.json,app.json 页面路由
微信小程序,main,pages/role/status/index,,已注册,miniprogram-client/pages/role/status/index.json,app.json 页面路由
微信小程序,pages/game,pages/game/hall/index,组局大厅,已注册,miniprogram-client/pages/game/hall/index.json,app.json 页面路由
微信小程序,pages/game,pages/game/hall-greet/index,组局大厅-打招呼,已注册,miniprogram-client/pages/game/hall-greet/index.json,app.json 页面路由
微信小程序,pages/game,pages/game/create/index,,已注册,miniprogram-client/pages/game/create/index.json,app.json 页面路由
微信小程序,pages/game,pages/game/create-drafts/index,,已注册,miniprogram-client/pages/game/create-drafts/index.json,app.json 页面路由
微信小程序,pages/game,pages/game/create-preview/index,,已注册,miniprogram-client/pages/game/create-preview/index.json,app.json 页面路由
微信小程序,pages/game,pages/game/detail/index,活动详情,已注册,miniprogram-client/pages/game/detail/index.json,app.json 页面路由
微信小程序,pages/game,pages/game/participants/index,全部参与者,已注册,miniprogram-client/pages/game/participants/index.json,app.json 页面路由
微信小程序,pages/game,pages/game/manage/index,,已注册,miniprogram-client/pages/game/manage/index.json,app.json 页面路由
微信小程序,pages/game,pages/game/player-manage/index,,已注册,miniprogram-client/pages/game/player-manage/index.json,app.json 页面路由
微信小程序,pages/game,pages/game/player-cancel/index,,已注册,miniprogram-client/pages/game/player-cancel/index.json,app.json 页面路由
微信小程序,pages/game,pages/game/apply/index,申请加入,已注册,miniprogram-client/pages/game/apply/index.json,app.json 页面路由
微信小程序,pages/game,pages/game/system-recommend/index,,已注册,miniprogram-client/pages/game/system-recommend/index.json,app.json 页面路由
微信小程序,pages/game,pages/game/audit/index,审核,已注册,miniprogram-client/pages/game/audit/index.json,app.json 页面路由
微信小程序,pages/game,pages/game/audit-detail/index,审核,已注册,miniprogram-client/pages/game/audit-detail/index.json,app.json 页面路由
微信小程序,pages/game,pages/game/player-confirm/index,确认组局,已注册,miniprogram-client/pages/game/player-confirm/index.json,app.json 页面路由
微信小程序,pages/game,pages/game/greet/index,打招呼,已注册,miniprogram-client/pages/game/greet/index.json,app.json 页面路由
微信小程序,pages/game,pages/game/guide-chat/index,小程序通知,已注册,miniprogram-client/pages/game/guide-chat/index.json,app.json 页面路由
微信小程序,pages/game,pages/game/guide-progress/index,组局消息,已注册,miniprogram-client/pages/game/guide-progress/index.json,app.json 页面路由
微信小程序,pages/game,pages/game/guide-progress-detail/index,组局进度详情,已注册,miniprogram-client/pages/game/guide-progress-detail/index.json,app.json 页面路由
微信小程序,pages/game,pages/game/guide-cancel/index,组局取消,已注册,miniprogram-client/pages/game/guide-cancel/index.json,app.json 页面路由
微信小程序,pages/game,pages/game/expert-cancel/index,取消服务确认,已注册,miniprogram-client/pages/game/expert-cancel/index.json,app.json 页面路由
微信小程序,pages/game,pages/game/share/index,,已注册,miniprogram-client/pages/game/share/index.json,app.json 页面路由
微信小程序,pages/game,pages/game/invite/index,发起邀请,已注册,miniprogram-client/pages/game/invite/index.json,app.json 页面路由
微信小程序,pages/game,pages/game/confirm/index,组局确认,已注册,miniprogram-client/pages/game/confirm/index.json,app.json 页面路由
微信小程序,pages/game,pages/game/collaboration/index,局内协作,已注册,miniprogram-client/pages/game/collaboration/index.json,app.json 页面路由
微信小程序,pages/game,pages/game/success-expert/index,组局成功,已注册,miniprogram-client/pages/game/success-expert/index.json,app.json 页面路由
微信小程序,pages/game,pages/game/success-guide/index,组局成功,已注册,miniprogram-client/pages/game/success-guide/index.json,app.json 页面路由
微信小程序,pages/game,pages/game/referral-record/index,,已注册,miniprogram-client/pages/game/referral-record/index.json,app.json 页面路由
微信小程序,pages/game,pages/game/applications/index,入局申请,已注册,miniprogram-client/pages/game/applications/index.json,app.json 页面路由
