service,surface,method,route_pattern,dynamic_prefix,auth_or_permission,handler,source_file,source_line
funds-service-placeholder,资金 API,ANY,/api/funds/bills/download,否,未实现统一鉴权,SettlementController,services/funds-service/src/main/java/com/zhw/funds/settlement/SettlementController.java,19
funds-service-placeholder,资金 API,ANY,/api/funds/payment-callback-placeholder,否,未实现统一鉴权,PaymentPlaceholderController,services/funds-service/src/main/java/com/zhw/funds/placeholder/PaymentPlaceholderController.java,16
funds-service-placeholder,资金 API,ANY,/api/funds/payment-precreate-placeholder,否,未实现统一鉴权,PaymentPlaceholderController,services/funds-service/src/main/java/com/zhw/funds/placeholder/PaymentPlaceholderController.java,10
funds-service-placeholder,资金 API,ANY,/api/funds/profit-sharing/orders,否,未实现统一鉴权,RevenueController,services/funds-service/src/main/java/com/zhw/funds/revenue/RevenueController.java,44
funds-service-placeholder,资金 API,ANY,/api/funds/profit-sharing/receivers,否,未实现统一鉴权,RevenueController,services/funds-service/src/main/java/com/zhw/funds/revenue/RevenueController.java,40
funds-service-placeholder,资金 API,ANY,/api/funds/profit-sharing/return-orders,否,未实现统一鉴权,RevenueController,services/funds-service/src/main/java/com/zhw/funds/revenue/RevenueController.java,48
funds-service-placeholder,资金 API,ANY,/api/funds/revenue/generate,否,未实现统一鉴权,RevenueController,services/funds-service/src/main/java/com/zhw/funds/revenue/RevenueController.java,32
funds-service-placeholder,资金 API,ANY,/api/funds/revenue/records,否,未实现统一鉴权,RevenueController,services/funds-service/src/main/java/com/zhw/funds/revenue/RevenueController.java,37
funds-service-placeholder,资金 API,ANY,/api/funds/revenue/simulate,否,未实现统一鉴权,RevenueController,services/funds-service/src/main/java/com/zhw/funds/revenue/RevenueController.java,22
funds-service-placeholder,资金 API,ANY,/api/funds/revenue/templates,否,未实现统一鉴权,RevenueController,services/funds-service/src/main/java/com/zhw/funds/revenue/RevenueController.java,11
funds-service-placeholder,资金 API,ANY,/api/funds/settlements,否,未实现统一鉴权,SettlementController,services/funds-service/src/main/java/com/zhw/funds/settlement/SettlementController.java,16
funds-service-placeholder,资金 API,ANY,/api/funds/settlements/offline,否,未实现统一鉴权,SettlementController,services/funds-service/src/main/java/com/zhw/funds/settlement/SettlementController.java,11
funds-service-placeholder,内部 API,ANY,/api/internal/funds/reconcile-runner,否,未实现统一鉴权,SettlementController,services/funds-service/src/main/java/com/zhw/funds/settlement/SettlementController.java,23
funds-service-placeholder,内部 API,ANY,/api/internal/pay/callback-placeholder,否,未实现统一鉴权,PaymentPlaceholderController,services/funds-service/src/main/java/com/zhw/funds/placeholder/PaymentPlaceholderController.java,21
funds-service-placeholder,健康检查,ANY,/health,否,未实现统一鉴权,FundsApplication,services/funds-service/src/main/java/com/zhw/funds/FundsApplication.java,20
go-api,管理后台 API,GET,/api/admin/admin-applications,否,后台权限:admin_user:view,"s.requireAdminPermission(""admin_user:view"", s.adminApplications)",services/go-api/internal/appapi/server.go,564
go-api,管理后台 API,GET,/api/admin/admin-permissions/catalog,否,后台权限:admin_user:view,"s.requireAdminPermission(""admin_user:view"", s.adminPermissionCatalog)",services/go-api/internal/appapi/server.go,568
go-api,管理后台 API,GET,/api/admin/admin-roles,否,后台权限:admin_user:view,"s.requireAdminPermission(""admin_user:view"", s.adminRoles)",services/go-api/internal/appapi/server.go,567
go-api,管理后台 API,GET,/api/admin/admin-users,否,后台权限:admin_user:view,"s.requireAdminPermission(""admin_user:view"", s.adminAccountUsers)",services/go-api/internal/appapi/server.go,563
go-api,管理后台 API,POST,/api/admin/admin-users,否,后台权限:admin_user:create,"s.requireAdminPermission(""admin_user:create"", s.createAdminAccountUser)",services/go-api/internal/appapi/server.go,565
go-api,管理后台 API,PUT,/api/admin/admin-users/,是,后台权限:admin_user:update,"s.requireAdminPermission(""admin_user:update"", s.routeAdminAccountUserPut)",services/go-api/internal/appapi/server.go,566
go-api,管理后台 API,POST,/api/admin/ai-data/acceptance-fixture,否,后台权限:ai:data:seed,"s.requireAdminPermission(""ai:data:seed"", s.adminAIDataAcceptanceFixture)",services/go-api/internal/appapi/server.go,676
go-api,管理后台 API,POST,/api/admin/ai-data/im-export,否,后台权限:ai:data:export,"s.requireAdminPermission(""ai:data:export"", s.adminAIDataIMExport)",services/go-api/internal/appapi/server.go,677
go-api,管理后台 API,GET,/api/admin/ai-data/im-export-config,否,后台权限:ai:data:read,"s.requireAdminPermission(""ai:data:read"", s.adminAIDataIMExportConfig)",services/go-api/internal/appapi/server.go,678
go-api,管理后台 API,PUT,/api/admin/ai-data/im-export-config,否,后台权限:system_config:update,"s.requireAdminPermission(""system_config:update"", s.adminAIDataIMExportConfig)",services/go-api/internal/appapi/server.go,679
go-api,管理后台 API,GET,/api/admin/ai-data/snapshot,否,后台权限:ai:data:read,"s.requireAdminPermission(""ai:data:read"", s.adminAIDataSnapshot)",services/go-api/internal/appapi/server.go,675
go-api,管理后台 API,GET,/api/admin/analytics/funnel,否,后台权限:analytics:funnel:view,"s.requireAdminPermission(""analytics:funnel:view"", s.adminFunnel)",services/go-api/internal/appapi/server.go,672
go-api,管理后台 API,GET,/api/admin/analytics/retention,否,后台权限:analytics:retention:view,"s.requireAdminPermission(""analytics:retention:view"", s.adminRetention)",services/go-api/internal/appapi/server.go,673
go-api,管理后台 API,GET,/api/admin/audits/role-applications,否,后台权限:role:view,"s.requireAdminPermission(""role:view"", s.adminRoleApplications)",services/go-api/internal/appapi/server.go,650
go-api,管理后台 API,POST,/api/admin/audits/role-applications/,是,由处理器校验,s.routeAdminRoleApplicationPost,services/go-api/internal/appapi/server.go,651
go-api,管理后台 API,POST,/api/admin/auth/applications,否,由处理器校验,s.submitAdminApplication,services/go-api/internal/appapi/server.go,560
go-api,管理后台 API,POST,/api/admin/auth/login,否,由处理器校验,s.adminLogin,services/go-api/internal/appapi/server.go,559
go-api,管理后台 API,GET,/api/admin/auth/permissions,否,由处理器校验,s.adminPermissions,services/go-api/internal/appapi/server.go,561
go-api,管理后台 API,GET,/api/admin/avatar-audits,否,后台权限:identity:read,"s.requireAdminPermission(""identity:read"", s.adminAvatarAudits)",services/go-api/internal/appapi/server.go,641
go-api,管理后台 API,POST,/api/admin/avatar-audits/,是,由处理器校验,s.routeAdminAvatarAuditPost,services/go-api/internal/appapi/server.go,642
go-api,管理后台 API,GET,/api/admin/behavior-logs,否,后台权限:analytics:timeline:view,"s.requireAdminPermission(""analytics:timeline:view"", s.adminBehaviorLogs)",services/go-api/internal/appapi/server.go,680
go-api,管理后台 API,GET,/api/admin/behavior/events,否,后台权限:data:behavior:read,"s.requireAdminPermission(""data:behavior:read"", s.adminBehaviorEvents)",services/go-api/internal/appapi/server.go,674
go-api,管理后台 API,GET,/api/admin/connections,否,后台权限:connection:read,"s.requireAdminPermission(""connection:read"", s.adminConnections)",services/go-api/internal/appapi/server.go,625
go-api,管理后台 API,GET,/api/admin/content-risk/logs,否,后台权限:content:risk_log:view,"s.requireAdminPermission(""content:risk_log:view"", s.adminContentRiskLogs)",services/go-api/internal/appapi/server.go,668
go-api,管理后台 API,GET,/api/admin/credit-deduction-rules,否,后台权限:system_config:read,"s.requireAdminPermission(""system_config:read"", s.adminCreditDeductionRules)",services/go-api/internal/appapi/server.go,620
go-api,管理后台 API,PUT,/api/admin/credit-deduction-rules,否,后台权限:system_config:update,"s.requireAdminPermission(""system_config:update"", s.adminCreditDeductionRules)",services/go-api/internal/appapi/server.go,621
go-api,管理后台 API,GET,/api/admin/credit/restriction-config,否,后台权限:system_config:read,"s.requireAdminPermission(""system_config:read"", s.adminCreditRestrictionConfig)",services/go-api/internal/appapi/server.go,614
go-api,管理后台 API,PUT,/api/admin/credit/restriction-config,否,后台权限:system_config:update,"s.requireAdminPermission(""system_config:update"", s.adminCreditRestrictionConfig)",services/go-api/internal/appapi/server.go,615
go-api,管理后台 API,GET,/api/admin/dashboard,否,后台权限:analytics:funnel:view,"s.requireAdminPermission(""analytics:funnel:view"", s.adminDashboard)",services/go-api/internal/appapi/server.go,670
go-api,管理后台 API,GET,/api/admin/delivery-documents,否,后台权限:delivery:manage,"s.requireAdminPermission(""delivery:manage"", s.adminDeliveryDocuments)",services/go-api/internal/appapi/server.go,648
go-api,管理后台 API,POST,/api/admin/delivery-documents,否,后台权限:delivery:manage,"s.requireAdminPermission(""delivery:manage"", s.createAdminDeliveryDocument)",services/go-api/internal/appapi/server.go,649
go-api,管理后台 API,GET,/api/admin/enterprise-certifications,否,后台权限:identity:read,"s.requireAdminPermission(""identity:read"", s.adminEnterpriseCertifications)",services/go-api/internal/appapi/server.go,643
go-api,管理后台 API,GET,/api/admin/enterprise-certifications/,是,后台权限:identity:read,"s.requireAdminPermission(""identity:read"", s.adminEnterpriseCertificationDetail)",services/go-api/internal/appapi/server.go,644
go-api,管理后台 API,POST,/api/admin/enterprise-certifications/,是,后台权限:identity:update,"s.requireAdminPermission(""identity:update"", s.routeAdminEnterpriseCertificationPost)",services/go-api/internal/appapi/server.go,645
go-api,管理后台 API,GET,/api/admin/experts/,是,后台权限:profile:read,"s.requireAdminPermission(""profile:read"", s.adminExpertSkill)",services/go-api/internal/appapi/server.go,627
go-api,管理后台 API,GET,/api/admin/experts/skill-display-config,否,后台权限:system_config:read,"s.requireAdminPermission(""system_config:read"", s.adminExpertSkillDisplayConfig)",services/go-api/internal/appapi/server.go,601
go-api,管理后台 API,PUT,/api/admin/experts/skill-display-config,否,后台权限:system_config:update,"s.requireAdminPermission(""system_config:update"", s.adminExpertSkillDisplayConfig)",services/go-api/internal/appapi/server.go,602
go-api,管理后台 API,GET,/api/admin/export-tasks,否,后台权限:report_export:create,"s.requireAdminPermission(""report_export:create"", s.adminExportTasks)",services/go-api/internal/appapi/server.go,682
go-api,管理后台 API,GET,/api/admin/export-tasks/,是,后台权限:report_export:create,"s.requireAdminPermission(""report_export:create"", s.routeAdminExportTaskGet)",services/go-api/internal/appapi/server.go,683
go-api,管理后台 API,GET,/api/admin/feedback-records,否,后台权限:feedback:view,"s.requireAdminPermission(""feedback:view"", s.adminSystemFeedbackRecords)",services/go-api/internal/appapi/server.go,687
go-api,管理后台 API,POST,/api/admin/feedback-records/,是,后台权限:feedback:reply,"s.requireAdminPermission(""feedback:reply"", s.adminSystemFeedbackReply)",services/go-api/internal/appapi/server.go,693
go-api,管理后台 API,GET,/api/admin/files/,是,由处理器校验,s.adminDownloadFileURL,services/go-api/internal/appapi/server.go,647
go-api,管理后台 API,POST,/api/admin/files/upload-token,否,后台权限:game:create_admin,"s.requireAdminPermission(""game:create_admin"", s.adminCreateUploadToken)",services/go-api/internal/appapi/server.go,646
go-api,管理后台 API,GET,/api/admin/game-applications,否,后台权限:game:read,"s.requireAdminPermission(""game:read"", s.adminGameApplications)",services/go-api/internal/appapi/server.go,586
go-api,管理后台 API,POST,/api/admin/game-checkins/,是,后台权限:game:progress:manage,"s.requireAdminPermission(""game:progress:manage"", s.routeAdminGameCheckinPost)",services/go-api/internal/appapi/server.go,624
go-api,管理后台 API,GET,/api/admin/games,否,后台权限:game:read,"s.requireAdminPermission(""game:read"", s.adminGames)",services/go-api/internal/appapi/server.go,585
go-api,管理后台 API,POST,/api/admin/games,否,后台权限:game:create_admin,"s.requireAdminPermission(""game:create_admin"", s.adminCreateGame)",services/go-api/internal/appapi/server.go,587
go-api,管理后台 API,GET,/api/admin/games/,是,由处理器校验,s.routeAdminGamesGet,services/go-api/internal/appapi/server.go,622
go-api,管理后台 API,POST,/api/admin/games/,是,由处理器校验,s.routeAdminGamesPost,services/go-api/internal/appapi/server.go,623
go-api,管理后台 API,GET,/api/admin/games/application-config,否,后台权限:system_config:read,"s.requireAdminPermission(""system_config:read"", s.adminGameApplicationConfig)",services/go-api/internal/appapi/server.go,593
go-api,管理后台 API,PUT,/api/admin/games/application-config,否,后台权限:system_config:update,"s.requireAdminPermission(""system_config:update"", s.adminGameApplicationConfig)",services/go-api/internal/appapi/server.go,594
go-api,管理后台 API,GET,/api/admin/games/audit-config,否,后台权限:system_config:read,"s.requireAdminPermission(""system_config:read"", s.adminGameAuditConfig)",services/go-api/internal/appapi/server.go,595
