table_name,created_in,create_line,column_count,columns,alter_migrations,index_count,unique_index_count
achievements,000006_review_growth_credit.sql,106,4,id;code;title;created_at,,0,0
admin_permissions,000008_admin_system.sql,17,4,id;permission_code;permission_name;created_at,,0,0
admin_role_permissions,000008_admin_system.sql,31,3,role_id;permission_id;created_at,,0,0
admin_roles,000008_admin_system.sql,10,4,id;role_code;role_name;created_at,,0,0
admin_user_roles,000008_admin_system.sql,24,3,admin_user_id;role_id;created_at,,0,0
admin_users,000008_admin_system.sql,1,6,id;username;password_hash;status;created_at;updated_at,,0,0
ai_data_export_tasks,000012_ai_data_prepare.sql,15,7,id;export_type;status;blocked_reason;created_by_admin_id;created_at;completed_at,,1,0
ai_data_snapshots,000012_ai_data_prepare.sql,1,11,id;behavior_log_count;favorite_count;review_count;connection_count;expert_profile_count;guide_profile_count;im_message_count;data_ready;im_export_enabled;created_at,,0,0
app_auth_sessions,000011_identity_strong.sql,1,7,id;token_hash;user_id;session_kind;expires_at;revoked_at;created_at,,1,0
chat_messages,000005_im.sql,17,9,id;room_id;sender_user_id;client_msg_id;message_type;content;file_id;status;created_at,,2,1
chat_room_members,000005_im.sql,8,5,id;room_id;user_id;status;created_at,,0,0
chat_rooms,000005_im.sql,1,8,id;game_id;status;created_at;engine;openim_group_id;archived_at;archive_reason,000034_im_repository_fields.sql,0,0
commercial_order_allocations,000052_phase2_commercial_reservations.sql,34,8,id;commercial_order_id;recipient_user_id;role;amount_cent;allocation_status;created_at;updated_at,,1,0
commercial_service_orders,000052_phase2_commercial_reservations.sql,14,14,id;order_no;order_type;game_id;buyer_user_id;provider_user_id;amount_cent;payment_status;fulfillment_status;distribution_method;platform_fee_bps;metadata;created_at;updated_at,,2,0
connection_follow_logs,000010_p1_reserved.sql,113,7,id;connection_id;operator_user_id;follow_type;content;next_follow_at;created_at,,1,0
content_risk_logs,000005_im.sql,43,11,id;game_id;room_id;message_id;sender_user_id;content;word;action;status;source;created_at,,1,0
credit_accounts,000055_permanent_credit_accounts.sql,2,3,user_id;current_score;updated_at,,1,0
credit_deduction_rules,000006_review_growth_credit.sql,70,7,id;rule_code;change_value;enabled;description;created_at;updated_at,,0,0
credit_logs,000006_review_growth_credit.sql,49,17,id;user_id;game_id;change_value;before_score;after_score;reason;created_at;rule_code;source_type;source_id;role_snapshot;operator_type;operator_id;rule_version;appeal_id;idempotency_key,000055_permanent_credit_accounts.sql,1,1
daily_credit_scores,000006_review_growth_credit.sql,60,6,id;user_id;score_date;current_score;created_at;updated_at,,0,0
delivery_documents,000010_p1_reserved.sql,144,5,id;doc_type;title;status;created_at,,0,0
enterprise_certifications,000053_enterprise_certifications.sql,1,13,id;user_id;company_name;unified_social_credit_code;legal_person;business_license_file_id;public_account_file_id;status;reject_reason;review_admin_id;review_remark;created_at;updated_at,,2,1
experience_logs,000006_review_growth_credit.sql,40,6,id;user_id;game_id;change_value;reason;created_at,,0,0
expert_skill_profiles,000010_p1_reserved.sql,125,6,id;user_id;skill_tree;service_tags;case_file_ids;updated_at,,0,0
export_file_contents,000059_export_file_contents.sql,2,3,file_id;content;created_at,,0,0
export_tasks,000009_behavior_export.sql,56,11,id;task_no;template_code;export_type;status;file_id;created_by;filters_json;fail_reason;created_at;finished_at,,2,0
export_templates,000009_behavior_export.sql,16,9,id;code;name;export_type;file_name;columns_json;description;enabled;created_at,,0,0
files,000015_files_repository.sql,1,12,id;uploader_user_id;biz_type;object_id;file_name;mime_type;size_bytes;sha256;storage_key;access_level;expires_at;created_at,,3,1
game_applications,000016_games_repository.sql,19,10,id;game_id;user_id;status;reason;created_at;reviewed_at;file_ids;role;reject_reason,000030_game_application_file_ids.sql;000037_game_application_invitation_roles.sql;000052_game_application_rejection_reason.sql,3,1
game_checkins,000010_p1_reserved.sql,18,9,id;game_id;user_id;milestone_id;checkin_type;content;file_ids;status;created_at,,0,0
game_continue_drafts,000010_p1_reserved.sql,39,7,id;original_game_id;draft_game_id;creator_user_id;title;status;created_at,,0,0
game_create_drafts,000060_game_create_drafts.sql,1,6,id;creator_user_id;title;payload;created_at;updated_at,,1,0
game_favorites,000010_p1_reserved.sql,1,4,id;user_id;game_id;created_at,,0,0
game_invitations,000024_game_invitations.sql,1,18,id;game_id;inviter_user_id;target_user_id;status;message;application_id;created_at;responded_at;role;service_type;service_duration_text;demand_detail;budget_amount_cent;expected_time_text;invite_group_id;player_user_id;expert_user_id,000037_game_application_invitation_roles.sql;000046_game_invitation_detail_fields.sql;000047_game_invitation_groups.sql;000048_game_invitation_parties.sql,5,0
game_locations,000004_games.sql,17,9,id;game_id;longitude;latitude;address;poi_title;city_code;city_name;created_at,,0,0
game_members,000016_games_repository.sql,5,8,game_id;user_id;role;status;quit_reason;credit_deducted;credit_log_id;joined_at,,1,0
game_milestones,000010_p1_reserved.sql,9,6,id;game_id;title;status;created_at;updated_at,,0,0
game_progress_feedbacks,000069_game_progress_feedbacks.sql,2,7,id;game_id;user_id;progress;content;file_ids;created_at,,1,0
game_retrospectives,000010_p1_reserved.sql,30,6,id;game_id;user_id;content;again_intent;created_at,,0,0
game_service_confirm_items,000004_games.sql,41,7,id;confirm_id;game_id;user_id;note;file_ids;created_at,000004_games.sql,1,0
game_service_confirms,000004_games.sql,32,6,id;game_id;status;completed_at;created_at;updated_at,,0,0
game_status_logs,000057_game_status_logs.sql,1,7,id;game_id;from_status;to_status;operator_user_id;reason;created_at,,1,0
games,000004_games.sql,1,46,id;creator_user_id;title;game_type;game_source;status;min_players;max_players;current_players;city_code;city_name;created_at;updated_at;longitude;latitude;main_guide_user_id;primary_category;primary_category_text;secondary_category;secondary_category_text;type;address;cover_image;description;highlights;notice;audience;participation;price;profit_template;start_at;end_at;signup_start_at;signup_end_at;tags;completion_rules;allowed_roles;allow_guide_escort;distribution_method;payment_status;reject_reason;start_reason;started_by_user_id;started_at;introduction;description_media,000016_games_repository.sql;000026_game_main_guide.sql;000028_game_categories.sql;000031_game_address.sql;000035_game_create_detail_fields.sql;000050_game_allowed_roles.sql;000051_game_guide_escort.sql;000052_phase2_commercial_reservations.sql;000053_game_rejection_reason.sql;000054_game_start_reason.sql;000070_game_introduction_and_description_media.sql,6,0
growth_event_ledger,000056_role_growth_event_ledger.sql,2,8,id;user_id;game_id;role_code;event_code;idempotency_key;occurred_at;created_at,,2,0
guide_qualification_records,000003_realname_roles.sql,70,5,user_id;condition_met;payment_met;guide_open_status;updated_at,,0,0
guide_qualification_rules,000003_realname_roles.sql,59,8,id;rule_code;min_invite_count;min_credit_score;min_completed_games;payment_required;status;updated_at,,0,0
guide_resource_profiles,000010_p1_reserved.sql,134,7,id;user_id;resource_tags;industry_tags;city_codes;connection_scale;updated_at,,0,0
identity_faceid_sessions,000011_identity_strong.sql,52,9,id;user_id;face_token_hash;status;detect_auth_payload_digest;callback_payload_digest;failure_reason;created_at;completed_at,,1,0
identity_sms_code_records,000011_identity_strong.sql,37,10,id;user_id;scene;phone_masked;code_hash;sent_at;expires_at;verified_at;verify_failed_count;created_at,,1,0
identity_verification_records,000011_identity_strong.sql,13,24,id;user_id;status;phone_masked;phone_encrypted;phone_hash;sms_verified;phone_verified;face_verified;wechat_realname_consistency;failure_reason;last_sms_sent_at;sms_daily_key;sms_daily_count;last_face_token_hash;faceid_request_id;faceid_result_digest;created_at;updated_at;real_name_masked;id_card_masked;real_name_ciphertext;real_name_initials;id_card_ciphertext,000023_identity_masked_fields.sql;000039_identity_in_game_identity.sql;000051_identity_id_card_ciphertext.sql,1,0
income_logs,000007_revenue_orders.sql,67,6,id;user_id;revenue_record_id;change_value_cent;reason;created_at,,0,0
invite_codes,000002_account_invite.sql,23,10,id;code;owner_user_id;status;max_uses;used_count;expires_at;created_at;updated_at;entry_type,000025_invite_entry_precheck.sql,1,0
invite_quota_requests,000062_invite_code_operations.sql,1,9,id;owner_user_id;quantity;reason;status;audit_reason;reviewed_by;created_at;reviewed_at,,2,0
invite_relations,000002_account_invite.sql,35,6,id;invite_code_id;inviter_user_id;invitee_user_id;bind_source;created_at,,3,0
member_report_memberships,000019_team_member_repository.sql,11,5,user_id;plan_name;invited_count;created_at;updated_at,,1,0
member_report_snapshots,000010_p1_reserved.sql,61,6,id;user_id;report_type;period;metrics;created_at,,1,0
membership_plans,000003_realname_roles.sql,42,5,id;plan_code;plan_name;status;created_at,,0,0
notifications,000008_admin_system.sql,76,14,id;user_id;notify_type;title;content;biz_type;biz_id;status;need_wechat;wechat_state;wechat_template_id;wechat_task_id;created_at;read_at,,2,0
operation_logs,000008_admin_system.sql,38,11,id;admin_user_id;action;target_type;target_id;request_id;ip;detail_json;created_at;before_json;after_json,000055_operation_log_snapshots.sql,2,0
